step,time,weekday_abs,weekday_norm_peak,holiday_abs,holiday_norm_peak
0,00:00,112848,0.3035,97725,0.2628
1,00:10,111402,0.2996,98765,0.2656
2,00:20,109956,0.2957,99805,0.2684
3,00:30,108510,0.2918,100846,0.2712
4,00:40,107064,0.2879,101886,0.274
5,00:50,105618,0.2841,102926,0.2768
6,01:00,104172,0.2802,103966,0.2796
7,01:10,102005,0.2743,101606,0.2733
8,01:20,99839,0.2685,99246,0.2669
9,01:30,97672,0.2627,96886,0.2606
10,01:40,95505,0.2569,94526,0.2542
11,01:50,93338,0.251,92165,0.2479
12,02:00,91171,0.2452,89805,0.2415
13,02:10,90088,0.2423,88389,0.2377
14,02:20,89004,0.2394,86973,0.2339
15,02:30,87921,0.2365,85557,0.2301
16,02:40,86838,0.2335,84141,0.2263
17,02:50,85754,0.2306,82724,0.2225
18,03:00,84671,0.2277,81308,0.2187
19,03:10,85032,0.2287,81072,0.218
20,03:20,85393,0.2297,80836,0.2174
21,03:30,85754,0.2306,80600,0.2168
22,03:40,86115,0.2316,80364,0.2161
23,03:50,86477,0.2326,80128,0.2155
24,04:00,86838,0.2335,79892,0.2149
25,04:10,86478,0.2326,76964,0.207
26,04:20,86118,0.2316,74035,0.1991
27,04:30,85759,0.2306,71107,0.1912
28,04:40,85399,0.2297,68178,0.1834
29,04:50,85039,0.2287,65250,0.1755
30,05:00,84680,0.2277,62322,0.1676
31,05:10,91902,0.2472,64210,0.1727
32,05:20,99125,0.2666,66098,0.1778
33,05:30,106348,0.286,67986,0.1828
34,05:40,113570,0.3054,69874,0.1879
35,05:50,120793,0.3249,71762,0.193
36,06:00,128016,0.3443,73651,0.1981
37,06:10,139933,0.3763,76247,0.2051
38,06:20,151850,0.4084,78843,0.212
39,06:30,163768,0.4404,81439,0.219
40,06:40,175685,0.4725,84036,0.226
41,06:50,187603,0.5045,86632,0.233
42,07:00,199520,0.5366,89228,0.24
43,07:10,213966,0.5754,92532,0.2489
44,07:20,228411,0.6143,95837,0.2577
45,07:30,242856,0.6531,99141,0.2666
46,07:40,257302,0.692,102445,0.2755
47,07:50,271747,0.7308,105750,0.2844
48,08:00,286192,0.7697,109054,0.2933
49,08:10,293415,0.7891,113774,0.306
50,08:20,300638,0.8085,118495,0.3187
51,08:30,307861,0.828,123215,0.3314
52,08:40,315083,0.8474,127936,0.3441
53,08:50,322306,0.8668,132656,0.3568
54,09:00,329529,0.8862,137376,0.3695
55,09:10,332057,0.893,142097,0.3822
56,09:20,334584,0.8998,146817,0.3949
57,09:30,337112,0.9066,151538,0.4075
58,09:40,339640,0.9134,156258,0.4202
59,09:50,342168,0.9202,160979,0.4329
60,10:00,344696,0.927,165699,0.4456
61,10:10,347774,0.9353,170784,0.4593
62,10:20,350851,0.9436,175868,0.473
63,10:30,353929,0.9519,180953,0.4867
64,10:40,357006,0.9601,186037,0.5003
65,10:50,360084,0.9684,191122,0.514
66,11:00,363162,0.9767,196206,0.5277
67,11:10,362439,0.9747,198567,0.534
68,11:20,361717,0.9728,200927,0.5404
69,11:30,360995,0.9709,203287,0.5467
70,11:40,360273,0.9689,205647,0.5531
71,11:50,359550,0.967,208007,0.5594
72,12:00,358828,0.965,210368,0.5658
73,12:10,359550,0.967,212020,0.5702
74,12:20,360273,0.9689,213672,0.5747
75,12:30,360995,0.9709,215324,0.5791
76,12:40,361717,0.9728,216976,0.5835
