mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53393585,13,13113,2019,01,0,0,34195
53393585,13,13113,2019,01,0,1,26427
53393585,13,13113,2019,01,0,2,30387
53393585,13,13113,2019,01,1,0,76043
53393585,13,13113,2019,01,1,1,26823
53393585,13,13113,2019,01,1,2,51321
53393585,13,13113,2019,01,2,0,62544
53393585,13,13113,2019,01,2,1,26695
53393585,13,13113,2019,01,2,2,44568
53393586,13,13113,2019,01,0,0,30342
53393586,13,13113,2019,01,0,1,17436
53393586,13,13113,2019,01,0,2,23850
53393586,13,13113,2019,01,1,0,69243
53393586,13,13113,2019,01,1,1,19536
53393586,13,13113,2019,01,1,2,44964
53393586,13,13113,2019,01,2,0,56694
53393586,13,13113,2019,01,2,1,18859
53393586,13,13113,2019,01,2,2,38153
53393595,13,13113,2019,01,0,0,56245
53393595,13,13113,2019,01,0,1,23903
53393595,13,13113,2019,01,0,2,41127
53393595,13,13113,2019,01,1,0,71740
53393595,13,13113,2019,01,1,1,20718
53393595,13,13113,2019,01,1,2,49497
53393595,13,13113,2019,01,2,0,66742
53393595,13,13113,2019,01,2,1,21745
53393595,13,13113,2019,01,2,2,46797
53393596,13,13113,2019,01,0,0,68383
53393596,13,13113,2019,01,0,1,18730
53393596,13,13113,2019,01,0,2,42031
53393596,13,13113,2019,01,1,0,119611
53393596,13,13113,2019,01,1,1,20304
53393596,13,13113,2019,01,1,2,71846
53393596,13,13113,2019,01,2,0,103086
53393596,13,13113,2019,01,2,1,19796
53393596,13,13113,2019,01,2,2,62228
53394505,13,13113,2019,01,0,0,12646
53394505,13,13113,2019,01,0,1,6742
53394505,13,13113,2019,01,0,2,9126
53394505,13,13113,2019,01,1,0,12861
53394505,13,13113,2019,01,1,1,7828
53394505,13,13113,2019,01,1,2,11005
53394505,13,13113,2019,01,2,0,12792
53394505,13,13113,2019,01,2,1,7477
53394505,13,13113,2019,01,2,2,10399
53394506,13,13113,2019,01,0,0,46929
53394506,13,13113,2019,01,0,1,13084
53394506,13,13113,2019,01,0,2,26093
53394506,13,13113,2019,01,1,0,49507
53394506,13,13113,2019,01,1,1,11321
53394506,13,13113,2019,01,1,2,29536
53394506,13,13113,2019,01,2,0,48675
53394506,13,13113,2019,01,2,1,11890
53394506,13,13113,2019,01,2,2,28425
53393585,13,13113,2019,02,0,0,35889
53393585,13,13113,2019,02,0,1,26572
53393585,13,13113,2019,02,0,2,31547
53393585,13,13113,2019,02,1,0,82685
53393585,13,13113,2019,02,1,1,28319
53393585,13,13113,2019,02,1,2,55787
53393585,13,13113,2019,02,2,0,67643
53393585,13,13113,2019,02,2,1,27757
53393585,13,13113,2019,02,2,2,47996
53393586,13,13113,2019,02,0,0,35597
53393586,13,13113,2019,02,0,1,18538
53393586,13,13113,2019,02,0,2,26873
53393586,13,13113,2019,02,1,0,76994
53393586,13,13113,2019,02,1,1,20572
53393586,13,13113,2019,02,1,2,49576
53393586,13,13113,2019,02,2,0,63688
53393586,13,13113,2019,02,2,1,19918
53393586,13,13113,2019,02,2,2,42278
53393595,13,13113,2019,02,0,0,63540
53393595,13,13113,2019,02,0,1,26138
53393595,13,13113,2019,02,0,2,46425
53393595,13,13113,2019,02,1,0,77192
53393595,13,13113,2019,02,1,1,21888
53393595,13,13113,2019,02,1,2,53177
53393595,13,13113,2019,02,2,0,72804
53393595,13,13113,2019,02,2,1,23254
53393595,13,13113,2019,02,2,2,51007
53393596,13,13113,2019,02,0,0,81559
53393596,13,13113,2019,02,0,1,19839
53393596,13,13113,2019,02,0,2,48780
53393596,13,13113,2019,02,1,0,132571
53393596,13,13113,2019,02,1,1,22091
53393596,13,13113,2019,02,1,2,79972
53393596,13,13113,2019,02,2,0,116174
53393596,13,13113,2019,02,2,1,21367
53393596,13,13113,2019,02,2,2,69946
53394505,13,13113,2019,02,0,0,13082
53394505,13,13113,2019,02,0,1,7202
53394505,13,13113,2019,02,0,2,9805
53394505,13,13113,2019,02,1,0,13681
53394505,13,13113,2019,02,1,1,8122
53394505,13,13113,2019,02,1,2,11713
53394505,13,13113,2019,02,2,0,13489
53394505,13,13113,2019,02,2,1,7827
53394505,13,13113,2019,02,2,2,11100
53394506,13,13113,2019,02,0,0,43091
53394506,13,13113,2019,02,0,1,11712
53394506,13,13113,2019,02,0,2,24477
53394506,13,13113,2019,02,1,0,48112
53394506,13,13113,2019,02,1,1,11384
53394506,13,13113,2019,02,1,2,29807
53394506,13,13113,2019,02,2,0,46498
53394506,13,13113,2019,02,2,1,11489
53394506,13,13113,2019,02,2,2,28094
53393585,13,13113,2019,03,0,0,36039
53393585,13,13113,2019,03,0,1,27283
53393585,13,13113,2019,03,0,2,32094
53393585,13,13113,2019,03,1,0,80591
53393585,13,13113,2019,03,1,1,27651
53393585,13,13113,2019,03,1,2,54455
53393585,13,13113,2019,03,2,0,64782
53393585,13,13113,2019,03,2,1,27521
53393585,13,13113,2019,03,2,2,46520
53393586,13,13113,2019,03,0,0,34581
53393586,13,13113,2019,03,0,1,17405
53393586,13,13113,2019,03,0,2,25890
53393586,13,13113,2019,03,1,0,76962
53393586,13,13113,2019,03,1,1,19517
53393586,13,13113,2019,03,1,2,48975
53393586,13,13113,2019,03,2,0,61924
53393586,13,13113,2019,03,2,1,18768
53393586,13,13113,2019,03,2,2,40784
53393595,13,13113,2019,03,0,0,65074
53393595,13,13113,2019,03,0,1,26493
53393595,13,13113,2019,03,0,2,47007
53393595,13,13113,2019,03,1,0,80313
53393595,13,13113,2019,03,1,1,22348
53393595,13,13113,2019,03,1,2,55279
53393595,13,13113,2019,03,2,0,74906
53393595,13,13113,2019,03,2,1,23819
53393595,13,13113,2019,03,2,2,52344
53393596,13,13113,2019,03,0,0,81931
53393596,13,13113,2019,03,0,1,20354
53393596,13,13113,2019,03,0,2,48990
53393596,13,13113,2019,03,1,0,132238
53393596,13,13113,2019,03,1,1,22688
53393596,13,13113,2019,03,1,2,80011
53393596,13,13113,2019,03,2,0,114387
53393596,13,13113,2019,03,2,1,21860
53393596,13,13113,2019,03,2,2,69003
53394505,13,13113,2019,03,0,0,18860
53394505,13,13113,2019,03,0,1,8553
53394505,13,13113,2019,03,0,2,12658
53394505,13,13113,2019,03,1,0,13947
53394505,13,13113,2019,03,1,1,8400
53394505,13,13113,2019,03,1,2,11892
53394505,13,13113,2019,03,2,0,15690
53394505,13,13113,2019,03,2,1,8454
53394505,13,13113,2019,03,2,2,12164
53394506,13,13113,2019,03,0,0,48660
53394506,13,13113,2019,03,0,1,12373
53394506,13,13113,2019,03,0,2,27113
53394506,13,13113,2019,03,1,0,52859
53394506,13,13113,2019,03,1,1,12133
53394506,13,13113,2019,03,1,2,32370
53394506,13,13113,2019,03,2,0,51369
53394506,13,13113,2019,03,2,1,12219
53394506,13,13113,2019,03,2,2,30504
53393585,13,13113,2019,04,0,0,35224
53393585,13,13113,2019,04,0,1,26528
53393585,13,13113,2019,04,0,2,31346
53393585,13,13113,2019,04,1,0,79963
53393585,13,13113,2019,04,1,1,28370
53393585,13,13113,2019,04,1,2,54165
53393585,13,13113,2019,04,2,0,65050
53393585,13,13113,2019,04,2,1,27756
53393585,13,13113,2019,04,2,2,46559
53393586,13,13113,2019,04,0,0,33887
53393586,13,13113,2019,04,0,1,17170
53393586,13,13113,2019,04,0,2,25525
53393586,13,13113,2019,04,1,0,79262
53393586,13,13113,2019,04,1,1,20222
53393586,13,13113,2019,04,1,2,50289
53393586,13,13113,2019,04,2,0,64137
53393586,13,13113,2019,04,2,1,19205
53393586,13,13113,2019,04,2,2,42035
53393595,13,13113,2019,04,0,0,66972
53393595,13,13113,2019,04,0,1,26213
53393595,13,13113,2019,04,0,2,48331
53393595,13,13113,2019,04,1,0,79348
53393595,13,13113,2019,04,1,1,22330
53393595,13,13113,2019,04,1,2,54695
53393595,13,13113,2019,04,2,0,75223
53393595,13,13113,2019,04,2,1,23624
53393595,13,13113,2019,04,2,2,52574
53393596,13,13113,2019,04,0,0,81337
53393596,13,13113,2019,04,0,1,21752
53393596,13,13113,2019,04,0,2,50036
53393596,13,13113,2019,04,1,0,132145
53393596,13,13113,2019,04,1,1,23825
53393596,13,13113,2019,04,1,2,81095
53393596,13,13113,2019,04,2,0,115209
53393596,13,13113,2019,04,2,1,23134
53393596,13,13113,2019,04,2,2,70742
53394505,13,13113,2019,04,0,0,21250
